INDEX,TIME,POWER
0,2.00E-06,7.91E-10
1,2.00E-06,2.33E-06
2,2.00E-06,2.10E-05
3,2.00E-06,2.10E-05
4,2.00E-06,7.83E-10
5,2.00E-06,7.82E-10
6,2.00E-06,7.80E-10
7,2.00E-06,7.76E-10
8,2.00E-06,7.68E-10
9,2.00E-06,7.51E-10
10,2.01E-06,7.19E-10
11,2.01E-06,6.59E-10
12,2.02E-06,5.54E-10
13,2.04E-06,3.94E-10
14,2.08E-06,2.03E-10
15,2.17E-06,6.39E-11
16,2.33E-06,3.43E-11
17,2.66E-06,4.14E-11
18,3.00E-06,3.79E-11
19,3.00E-06,3.87E-11
20,3.00E-06,3.89E-11
21,3.00E-06,4.02E-11
22,3.00E-06,4.12E-11
23,3.00E-06,4.10E-11
24,3.00E-06,4.12E-11
25,3.00E-06,4.12E-11
26,3.00E-06,4.12E-11
27,3.00E-06,4.12E-11
28,3.01E-06,4.13E-11
29,3.01E-06,4.14E-11
30,3.02E-06,4.15E-11
31,3.04E-06,4.18E-11
32,3.08E-06,4.21E-11
33,3.17E-06,4.23E-11
34,3.33E-06,4.24E-11
35,3.66E-06,4.24E-11
36,4.00E-06,4.24E-11
37,4.00E-06,4.70E-06
38,4.00E-06,4.65E-05
39,4.00E-06,3.99E-05
40,4.00E-06,1.60E-08
41,4.00E-06,1.59E-08
42,4.00E-06,1.59E-08
43,4.00E-06,1.58E-08
44,4.00E-06,1.56E-08
45,4.00E-06,1.53E-08
46,4.01E-06,1.46E-08
47,4.01E-06,1.33E-08
48,4.02E-06,1.11E-08
49,4.04E-06,7.64E-09
50,4.08E-06,3.55E-09
51,4.16E-06,5.72E-10
52,4.33E-06,-5.92E-11
53,4.66E-06,9.25E-11
54,5.02E-06,1.59E-11
55,5.38E-06,5.63E-11
56,5.74E-06,3.50E-11
57,6.00E-06,4.54E-11
58,6.00E-06,2.34E-06
59,6.00E-06,2.14E-05
60,6.00E-06,6.05E-05
61,6.00E-06,3.41E-11
62,6.00E-06,1.49E-06
63,6.00E-06,1.34E-05
64,6.00E-06,4.52E-05
65,6.00E-06,4.18E-11
66,6.00E-06,4.20E-11
67,6.00E-06,4.20E-11
68,6.00E-06,4.20E-11
69,6.00E-06,4.20E-11
70,6.00E-06,4.19E-11
71,6.01E-06,4.18E-11
72,6.01E-06,4.16E-11
73,6.02E-06,4.13E-11
74,6.03E-06,4.07E-11
75,6.07E-06,4.00E-11
76,6.13E-06,3.93E-11
77,6.26E-06,3.91E-11
78,6.53E-06,3.91E-11
79,6.89E-06,3.91E-11
80,7.25E-06,3.91E-11
81,7.61E-06,3.91E-11
82,7.97E-06,3.91E-11
83,8.00E-06,3.91E-11
84,8.00E-06,2.33E-06
85,8.00E-06,2.10E-05
86,8.00E-06,2.10E-05
87,8.00E-06,3.25E-11
88,8.00E-06,3.26E-11
89,8.00E-06,3.26E-11
90,8.00E-06,3.26E-11
91,8.00E-06,3.26E-11
92,8.00E-06,3.26E-11
93,8.01E-06,3.26E-11
94,8.01E-06,3.26E-11
95,8.02E-06,3.26E-11
96,8.04E-06,3.26E-11
97,8.08E-06,3.26E-11
98,8.16E-06,3.26E-11
99,8.33E-06,3.26E-11
100,8.66E-06,3.26E-11
101,9.00E-06,3.26E-11
102,9.00E-06,5.88E-06
103,9.00E-06,6.05E-05
104,9.00E-06,2.14E-05
105,9.00E-06,4.24E-11
106,9.00E-06,4.24E-11
107,9.00E-06,4.24E-11
108,9.00E-06,4.24E-11
109,9.00E-06,4.24E-11
110,9.00E-06,4.24E-11
111,9.01E-06,4.24E-11
112,9.01E-06,4.24E-11
113,9.02E-06,4.24E-11
114,9.04E-06,4.24E-11
115,9.08E-06,4.24E-11
116,9.17E-06,4.24E-11
117,9.33E-06,4.24E-11
118,9.66E-06,4.24E-11
119,1.00E-05,4.24E-11
120,1.00E-05,4.58E-06
121,1.00E-05,3.99E-05
122,1.00E-05,3.75E-05
123,1.00E-05,1.62E-09
124,1.00E-05,2.22E-09
125,1.00E-05,3.72E-09
126,1.00E-05,7.87E-09
127,1.00E-05,2.08E-08
128,1.00E-05,6.53E-08
129,1.00E-05,2.28E-07
130,1.00E-05,8.51E-07
131,1.00E-05,3.28E-06
132,1.00E-05,1.27E-05
133,1.01E-05,4.82E-05
134,1.02E-05,5.18E-05
135,1.03E-05,6.58E-06
136,1.05E-05,4.66E-07
137,1.06E-05,1.36E-07
138,1.07E-05,4.51E-08
139,1.08E-05,1.22E-08
140,1.09E-05,2.60E-09
141,1.10E-05,6.43E-10
142,1.10E-05,1.92E-10
143,1.11E-05,8.17E-11
144,1.12E-05,5.21E-11
145,1.13E-05,4.48E-11
146,1.14E-05,4.24E-11
147,1.16E-05,4.24E-11
148,1.18E-05,4.24E-11
149,1.20E-05,4.24E-11
150,1.20E-05,2.35E-06
151,1.20E-05,2.19E-05
152,1.20E-05,9.49E-05
153,1.20E-05,3.26E-11
154,1.20E-05,3.26E-11
155,1.20E-05,3.26E-11
156,1.20E-05,3.26E-11
157,1.20E-05,3.26E-11
158,1.20E-05,3.26E-11
159,1.20E-05,3.26E-11
160,1.20E-05,3.26E-11
161,1.20E-05,3.26E-11
162,1.20E-05,3.26E-11
163,1.21E-05,3.26E-11
164,1.22E-05,3.26E-11
165,1.23E-05,3.26E-11
166,1.27E-05,3.26E-11
167,1.30E-05,3.26E-11
168,1.34E-05,3.26E-11
169,1.37E-05,3.26E-11
170,1.40E-05,3.26E-11
171,1.40E-05,4.41E-06
172,1.40E-05,3.76E-05
173,1.40E-05,1.16E-04
174,1.40E-05,5.51E-04
175,1.40E-05,5.81E-04
176,1.40E-05,5.83E-04
177,1.40E-05,5.83E-04
178,1.40E-05,5.83E-04
179,1.40E-05,5.83E-04
180,1.40E-05,5.83E-04
181,1.40E-05,5.83E-04
182,1.40E-05,5.83E-04
183,1.40E-05,5.82E-04
184,1.40E-05,5.80E-04
185,1.40E-05,5.69E-04
186,1.40E-05,5.33E-04
187,1.41E-05,3.96E-04
188,1.42E-05,7.64E-05
189,1.43E-05,5.07E-06
190,1.44E-05,-3.78E-07
191,1.45E-05,4.17E-08
192,1.48E-05,-1.78E-08
193,1.50E-05,4.12E-09
194,1.50E-05,4.11E-09
195,1.50E-05,4.10E-09
196,1.50E-05,4.07E-09
197,1.50E-05,4.05E-09
198,1.50E-05,4.05E-09
199,1.50E-05,4.03E-09
200,1.50E-05,4.01E-09
201,1.50E-05,3.97E-09
202,1.50E-05,3.88E-09
203,1.50E-05,3.70E-09
204,1.50E-05,3.38E-09
205,1.50E-05,2.82E-09
206,1.50E-05,1.95E-09
207,1.51E-05,9.24E-10
208,1.52E-05,1.76E-10
209,1.53E-05,1.68E-11
210,1.57E-05,5.50E-11
211,1.60E-05,3.59E-11
212,1.60E-05,4.70E-06
213,1.60E-05,4.65E-05
214,1.60E-05,3.99E-05
215,1.60E-05,1.60E-08
216,1.60E-05,1.59E-08
217,1.60E-05,1.59E-08
218,1.60E-05,1.58E-08
219,1.60E-05,1.56E-08
220,1.60E-05,1.53E-08
221,1.60E-05,1.46E-08
222,1.60E-05,1.33E-08
223,1.60E-05,1.11E-08
224,1.60E-05,7.63E-09
225,1.61E-05,3.54E-09
226,1.62E-05,5.72E-10
227,1.63E-05,-5.92E-11
228,1.67E-05,9.25E-11
229,1.70E-05,1.59E-11
230,1.74E-05,5.63E-11
231,1.77E-05,3.50E-11
232,1.80E-05,4.54E-11
233,1.80E-05,2.34E-06
234,1.80E-05,2.14E-05
235,1.80E-05,6.05E-05
236,1.80E-05,3.41E-11
237,1.80E-05,1.49E-06
238,1.80E-05,1.34E-05
239,1.80E-05,4.52E-05
240,1.80E-05,4.18E-11
241,1.80E-05,4.20E-11
242,1.80E-05,4.20E-11
243,1.80E-05,4.20E-11
244,1.80E-05,4.19E-11
245,1.80E-05,4.19E-11
246,1.80E-05,4.18E-11
247,1.80E-05,4.16E-11
248,1.80E-05,4.13E-11
249,1.80E-05,4.07E-11
250,1.81E-05,4.00E-11
251,1.81E-05,3.93E-11
252,1.83E-05,3.91E-11
253,1.85E-05,3.91E-11
254,1.89E-05,3.91E-11
255,1.92E-05,3.91E-11
256,1.96E-05,3.91E-11
257,2.00E-05,3.91E-11
258,2.00E-05,3.91E-11
