INDEX,TIME,POWER
0,0.00E+00,2.33E-04
1,1.00E-11,2.33E-04
2,2.00E-11,2.33E-04
3,4.00E-11,2.33E-04
4,8.00E-11,2.33E-04
5,1.60E-10,2.33E-04
6,3.20E-10,2.33E-04
7,6.40E-10,1.82E-04
8,1.00E-09,9.02E-05
9,1.06E-09,9.01E-05
10,1.19E-09,8.99E-05
11,1.45E-09,8.96E-05
12,1.96E-09,8.91E-05
13,2.98E-09,8.79E-05
14,5.03E-09,8.57E-05
15,9.13E-09,8.14E-05
16,1.73E-08,7.37E-05
17,3.37E-08,6.08E-05
18,6.65E-08,4.21E-05
19,1.32E-07,1.99E-05
20,2.41E-07,4.97E-06
21,3.68E-07,7.97E-07
22,4.79E-07,1.54E-07
23,5.62E-07,4.58E-08
24,6.52E-07,1.21E-08
25,7.46E-07,2.95E-09
26,8.44E-07,6.90E-10
27,9.37E-07,1.88E-10
28,1.03E-06,6.17E-11
29,1.12E-06,3.03E-11
30,1.21E-06,2.22E-11
31,1.32E-06,1.95E-11
32,1.46E-06,1.95E-11
33,1.64E-06,1.95E-11
34,1.90E-06,1.95E-11
35,2.00E-06,1.95E-11
36,2.00E-06,2.14E-06
37,2.00E-06,1.72E-05
38,2.00E-06,6.54E-05
39,2.00E-06,2.36E-04
40,2.00E-06,2.33E-04
41,2.00E-06,2.33E-04
42,2.00E-06,2.33E-04
43,2.00E-06,2.33E-04
44,2.00E-06,2.33E-04
45,2.00E-06,2.33E-04
46,2.00E-06,2.33E-04
47,2.01E-06,2.33E-04
48,2.01E-06,2.33E-04
49,2.02E-06,2.32E-04
50,2.04E-06,2.29E-04
51,2.07E-06,2.19E-04
52,2.14E-06,1.82E-04
53,2.28E-06,9.49E-05
54,2.57E-06,5.31E-06
55,2.90E-06,-4.91E-07
56,3.00E-06,-2.34E-07
57,3.00E-06,-2.34E-07
58,3.00E-06,-2.34E-07
59,3.00E-06,-2.33E-07
60,3.00E-06,-2.32E-07
61,3.00E-06,-2.32E-07
62,3.00E-06,-2.32E-07
63,3.00E-06,-2.32E-07
64,3.00E-06,-2.30E-07
65,3.00E-06,-2.28E-07
66,3.01E-06,-2.24E-07
67,3.01E-06,-2.16E-07
68,3.02E-06,-2.01E-07
69,3.04E-06,-1.73E-07
70,3.08E-06,-1.29E-07
71,3.17E-06,-7.00E-08
72,3.33E-06,-1.80E-08
73,3.66E-06,1.51E-09
74,4.00E-06,-1.33E-10
75,4.00E-06,2.36E-06
76,4.00E-06,2.48E-05
77,4.00E-06,2.10E-05
78,4.00E-06,2.56E-09
79,4.00E-06,2.55E-09
80,4.00E-06,2.55E-09
81,4.00E-06,2.54E-09
82,4.00E-06,2.53E-09
83,4.00E-06,2.51E-09
84,4.01E-06,2.47E-09
85,4.01E-06,2.38E-09
86,4.02E-06,2.21E-09
87,4.04E-06,1.91E-09
88,4.08E-06,1.43E-09
89,4.16E-06,7.88E-10
90,4.33E-06,2.23E-10
91,4.66E-06,9.86E-12
92,5.06E-06,3.42E-11
93,5.46E-06,3.23E-11
94,5.86E-06,3.26E-11
95,6.00E-06,3.26E-11
96,6.00E-06,2.34E-06
97,6.00E-06,2.21E-05
98,6.00E-06,2.21E-05
99,6.00E-06,2.61E-11
100,6.00E-06,2.61E-11
101,6.00E-06,2.61E-11
102,6.00E-06,2.61E-11
103,6.00E-06,2.61E-11
104,6.00E-06,2.61E-11
105,6.00E-06,2.60E-11
106,6.00E-06,2.60E-11
107,6.00E-06,2.60E-11
108,6.00E-06,2.60E-11
109,6.01E-06,2.60E-11
110,6.01E-06,2.59E-11
111,6.02E-06,2.57E-11
112,6.03E-06,2.54E-11
113,6.07E-06,2.48E-11
114,6.13E-06,2.41E-11
115,6.26E-06,2.33E-11
116,6.53E-06,2.28E-11
117,6.93E-06,2.28E-11
118,7.33E-06,2.28E-11
119,7.73E-06,2.28E-11
120,8.00E-06,2.28E-11
121,8.00E-06,2.28E-11
122,8.00E-06,2.28E-11
123,8.00E-06,2.28E-11
124,8.00E-06,2.28E-11
125,8.00E-06,2.28E-11
126,8.00E-06,2.28E-11
127,8.00E-06,2.28E-11
128,8.00E-06,2.28E-11
129,8.00E-06,2.28E-11
130,8.01E-06,2.28E-11
131,8.01E-06,2.29E-11
132,8.02E-06,2.31E-11
133,8.04E-06,2.35E-11
134,8.08E-06,2.42E-11
135,8.16E-06,2.43E-11
136,8.33E-06,2.32E-11
137,8.66E-06,2.28E-11
138,9.00E-06,2.28E-11
139,9.00E-06,2.34E-06
140,9.00E-06,2.21E-05
141,9.00E-06,2.21E-05
142,9.00E-06,2.93E-11
143,9.00E-06,2.94E-11
144,9.00E-06,2.94E-11
145,9.00E-06,2.94E-11
146,9.00E-06,2.94E-11
147,9.00E-06,2.94E-11
148,9.01E-06,2.95E-11
149,9.01E-06,2.96E-11
150,9.02E-06,2.98E-11
151,9.04E-06,3.02E-11
152,9.08E-06,3.08E-11
153,9.17E-06,3.16E-11
154,9.33E-06,3.23E-11
155,9.66E-06,3.26E-11
156,1.00E-05,3.26E-11
157,1.00E-05,2.34E-06
158,1.00E-05,2.10E-05
159,1.00E-05,2.10E-05
160,1.00E-05,2.93E-11
161,1.00E-05,2.93E-11
162,1.00E-05,2.93E-11
163,1.00E-05,2.93E-11
164,1.00E-05,2.93E-11
165,1.00E-05,2.94E-11
166,1.00E-05,2.94E-11
167,1.00E-05,2.95E-11
168,1.00E-05,2.96E-11
169,1.00E-05,2.98E-11
170,1.01E-05,3.03E-11
171,1.02E-05,3.11E-11
172,1.03E-05,3.20E-11
173,1.05E-05,3.24E-11
174,1.06E-05,3.25E-11
175,1.07E-05,3.25E-11
176,1.08E-05,3.26E-11
177,1.09E-05,3.26E-11
178,1.10E-05,3.26E-11
179,1.10E-05,3.26E-11
180,1.11E-05,3.26E-11
181,1.12E-05,3.26E-11
182,1.13E-05,3.26E-11
183,1.14E-05,3.26E-11
184,1.16E-05,3.26E-11
185,1.18E-05,3.26E-11
186,1.20E-05,3.26E-11
187,1.20E-05,2.35E-06
188,1.20E-05,2.21E-05
189,1.20E-05,1.72E-05
190,1.20E-05,2.14E-11
191,1.20E-05,2.14E-11
192,1.20E-05,2.14E-11
193,1.20E-05,2.13E-11
194,1.20E-05,2.13E-11
195,1.20E-05,2.13E-11
196,1.20E-05,2.13E-11
197,1.20E-05,2.12E-11
198,1.20E-05,2.11E-11
199,1.20E-05,2.09E-11
200,1.20E-05,2.05E-11
201,1.21E-05,2.00E-11
202,1.22E-05,1.96E-11
203,1.24E-05,1.95E-11
204,1.26E-05,1.95E-11
205,1.30E-05,1.95E-11
206,1.34E-05,1.95E-11
207,1.38E-05,1.95E-11
208,1.40E-05,1.95E-11
209,1.40E-05,2.14E-06
210,1.40E-05,1.72E-05
211,1.40E-05,6.54E-05
212,1.40E-05,2.36E-04
213,1.40E-05,2.33E-04
214,1.40E-05,2.33E-04
215,1.40E-05,2.33E-04
216,1.40E-05,2.33E-04
217,1.40E-05,2.33E-04
218,1.40E-05,2.33E-04
219,1.40E-05,2.33E-04
220,1.40E-05,2.33E-04
221,1.40E-05,2.33E-04
222,1.40E-05,2.32E-04
223,1.40E-05,2.29E-04
224,1.41E-05,2.19E-04
225,1.41E-05,1.82E-04
226,1.43E-05,9.49E-05
227,1.46E-05,5.31E-06
228,1.49E-05,-4.91E-07
229,1.50E-05,-2.34E-07
230,1.50E-05,-2.34E-07
231,1.50E-05,-2.34E-07
232,1.50E-05,-2.33E-07
233,1.50E-05,-2.32E-07
234,1.50E-05,-2.32E-07
235,1.50E-05,-2.32E-07
236,1.50E-05,-2.32E-07
237,1.50E-05,-2.30E-07
