INDEX,TIME,POWER
0,2.00E-06,-5.54E-11
1,2.00E-06,3.93E-09
2,2.00E-06,3.40E-08
3,2.00E-06,1.69E-07
4,2.00E-06,5.91E-15
5,2.00E-06,7.23E-15
6,2.00E-06,9.87E-15
7,2.00E-06,1.51E-14
8,2.00E-06,2.51E-14
9,2.00E-06,4.43E-14
10,2.01E-06,8.00E-14
11,2.01E-06,1.46E-13
12,2.02E-06,2.73E-13
13,2.04E-06,5.21E-13
14,2.08E-06,9.96E-13
15,2.17E-06,1.81E-12
16,2.33E-06,2.78E-12
17,2.48E-06,3.12E-12
18,2.56E-06,3.18E-12
19,2.63E-06,3.21E-12
20,2.72E-06,3.24E-12
21,2.82E-06,3.25E-12
22,2.91E-06,3.25E-12
23,2.99E-06,3.26E-12
24,3.08E-06,3.26E-12
25,3.17E-06,3.26E-12
26,3.26E-06,3.26E-12
27,3.36E-06,3.26E-12
28,3.50E-06,3.26E-12
29,3.68E-06,3.26E-12
30,3.93E-06,3.26E-12
31,4.00E-06,3.26E-12
32,4.00E-06,5.83E-06
33,4.00E-06,5.25E-05
34,4.00E-06,2.31E-04
35,4.00E-06,5.04E-04
36,4.00E-06,5.83E-04
37,4.00E-06,5.83E-04
38,4.00E-06,5.83E-04
39,4.00E-06,5.83E-04
40,4.00E-06,5.83E-04
41,4.00E-06,5.83E-04
42,4.00E-06,5.83E-04
43,4.01E-06,5.81E-04
44,4.01E-06,5.75E-04
45,4.03E-06,5.52E-04
46,4.05E-06,4.71E-04
47,4.11E-06,2.68E-04
48,4.21E-06,2.95E-05
49,4.32E-06,6.16E-08
50,4.45E-06,-4.36E-09
51,4.61E-06,8.17E-10
52,4.94E-06,-3.96E-10
53,5.30E-06,2.14E-10
54,5.66E-06,-1.08E-10
55,6.00E-06,6.04E-11
56,6.00E-06,4.04E-09
57,6.00E-06,3.41E-08
58,6.00E-06,1.69E-07
59,6.00E-06,5.92E-15
60,6.00E-06,7.23E-15
61,6.00E-06,9.87E-15
62,6.00E-06,1.51E-14
63,6.00E-06,2.51E-14
64,6.00E-06,4.43E-14
65,6.01E-06,8.00E-14
66,6.01E-06,1.46E-13
67,6.02E-06,2.73E-13
68,6.04E-06,5.21E-13
69,6.08E-06,9.96E-13
70,6.17E-06,1.81E-12
71,6.33E-06,2.78E-12
72,6.48E-06,3.12E-12
73,6.56E-06,3.18E-12
74,6.63E-06,3.21E-12
75,6.72E-06,3.24E-12
76,6.82E-06,3.25E-12
77,6.91E-06,3.25E-12
78,6.99E-06,3.26E-12
79,7.08E-06,3.26E-12
80,7.17E-06,3.26E-12
81,7.26E-06,3.26E-12
82,7.36E-06,3.26E-12
83,7.50E-06,3.26E-12
84,7.68E-06,3.26E-12
85,7.93E-06,3.26E-12
86,8.00E-06,3.26E-12
87,8.00E-06,5.83E-06
88,8.00E-06,5.25E-05
89,8.00E-06,2.31E-04
90,8.00E-06,5.04E-04
91,8.00E-06,5.83E-04
92,8.00E-06,5.83E-04
93,8.00E-06,5.83E-04
94,8.00E-06,5.83E-04
95,8.00E-06,5.83E-04
96,8.00E-06,5.83E-04
97,8.00E-06,5.83E-04
98,8.01E-06,5.81E-04
99,8.01E-06,5.75E-04
100,8.03E-06,5.52E-04
101,8.05E-06,4.71E-04
102,8.11E-06,2.68E-04
103,8.21E-06,2.95E-05
104,8.32E-06,6.16E-08
105,8.45E-06,-4.36E-09
106,8.61E-06,8.17E-10
107,8.94E-06,-3.96E-10
108,9.30E-06,2.14E-10
109,9.66E-06,-1.08E-10
110,1.00E-05,6.04E-11
111,1.00E-05,4.04E-09
112,1.00E-05,3.41E-08
113,1.00E-05,1.69E-07
114,1.00E-05,5.92E-15
115,1.00E-05,7.23E-15
116,1.00E-05,9.87E-15
117,1.00E-05,1.51E-14
118,1.00E-05,2.51E-14
119,1.00E-05,4.43E-14
120,1.00E-05,8.00E-14
121,1.00E-05,1.46E-13
122,1.00E-05,2.73E-13
123,1.00E-05,5.21E-13
124,1.01E-05,9.96E-13
125,1.02E-05,1.81E-12
126,1.03E-05,2.78E-12
127,1.05E-05,3.12E-12
128,1.06E-05,3.18E-12
129,1.06E-05,3.21E-12
130,1.07E-05,3.24E-12
131,1.08E-05,3.25E-12
132,1.09E-05,3.25E-12
133,1.10E-05,3.26E-12
134,1.11E-05,3.26E-12
135,1.12E-05,3.26E-12
136,1.13E-05,3.26E-12
137,1.14E-05,3.26E-12
138,1.15E-05,3.26E-12
139,1.17E-05,3.26E-12
140,1.19E-05,3.26E-12
141,1.20E-05,3.26E-12
142,1.20E-05,5.83E-06
143,1.20E-05,5.25E-05
144,1.20E-05,2.31E-04
145,1.20E-05,5.04E-04
146,1.20E-05,5.83E-04
147,1.20E-05,5.83E-04
148,1.20E-05,5.83E-04
149,1.20E-05,5.83E-04
150,1.20E-05,5.83E-04
151,1.20E-05,5.83E-04
152,1.20E-05,5.83E-04
153,1.20E-05,5.81E-04
154,1.20E-05,5.75E-04
155,1.20E-05,5.52E-04
156,1.21E-05,4.71E-04
157,1.21E-05,2.68E-04
158,1.22E-05,2.95E-05
159,1.23E-05,6.16E-08
160,1.24E-05,-4.36E-09
161,1.26E-05,8.17E-10
162,1.29E-05,-3.96E-10
163,1.33E-05,2.14E-10
164,1.37E-05,-1.08E-10
165,1.40E-05,6.04E-11
166,1.40E-05,4.04E-09
167,1.40E-05,3.41E-08
168,1.40E-05,1.69E-07
169,1.40E-05,5.92E-15
170,1.40E-05,7.23E-15
171,1.40E-05,9.87E-15
172,1.40E-05,1.51E-14
173,1.40E-05,2.51E-14
174,1.40E-05,4.43E-14
175,1.40E-05,8.00E-14
176,1.40E-05,1.46E-13
177,1.40E-05,2.73E-13
178,1.40E-05,5.21E-13
179,1.41E-05,9.96E-13
180,1.42E-05,1.81E-12
181,1.43E-05,2.78E-12
182,1.45E-05,3.12E-12
183,1.46E-05,3.18E-12
184,1.46E-05,3.21E-12
185,1.47E-05,3.24E-12
186,1.48E-05,3.25E-12
187,1.49E-05,3.25E-12
188,1.50E-05,3.26E-12
189,1.51E-05,3.26E-12
190,1.52E-05,3.26E-12
191,1.53E-05,3.26E-12
192,1.54E-05,3.26E-12
193,1.55E-05,3.26E-12
194,1.57E-05,3.26E-12
195,1.59E-05,3.26E-12
196,1.60E-05,3.26E-12
197,1.60E-05,5.83E-06
198,1.60E-05,5.25E-05
199,1.60E-05,2.31E-04
200,1.60E-05,5.04E-04
201,1.60E-05,5.83E-04
202,1.60E-05,5.83E-04
203,1.60E-05,5.83E-04
204,1.60E-05,5.83E-04
205,1.60E-05,5.83E-04
206,1.60E-05,5.83E-04
207,1.60E-05,5.83E-04
208,1.60E-05,5.81E-04
209,1.60E-05,5.75E-04
210,1.60E-05,5.52E-04
211,1.61E-05,4.71E-04
212,1.61E-05,2.68E-04
213,1.62E-05,2.95E-05
214,1.63E-05,6.16E-08
215,1.64E-05,-4.36E-09
216,1.66E-05,8.17E-10
217,1.69E-05,-3.96E-10
218,1.73E-05,2.14E-10
219,1.77E-05,-1.08E-10
220,1.80E-05,6.04E-11
221,1.80E-05,4.04E-09
222,1.80E-05,3.41E-08
223,1.80E-05,1.69E-07
224,1.80E-05,5.92E-15
225,1.80E-05,7.23E-15
226,1.80E-05,9.87E-15
227,1.80E-05,1.51E-14
228,1.80E-05,2.51E-14
229,1.80E-05,4.43E-14
230,1.80E-05,8.00E-14
231,1.80E-05,1.46E-13
232,1.80E-05,2.73E-13
233,1.80E-05,5.21E-13
234,1.81E-05,9.96E-13
235,1.82E-05,1.81E-12
236,1.83E-05,2.78E-12
237,1.85E-05,3.12E-12
238,1.86E-05,3.18E-12
239,1.86E-05,3.21E-12
240,1.87E-05,3.24E-12
241,1.88E-05,3.25E-12
242,1.89E-05,3.25E-12
243,1.90E-05,3.26E-12
244,1.91E-05,3.26E-12
245,1.92E-05,3.26E-12
246,1.93E-05,3.26E-12
247,1.94E-05,3.26E-12
248,1.95E-05,3.26E-12
249,1.97E-05,3.26E-12
250,1.99E-05,3.26E-12
251,2.00E-05,3.26E-12
