INDEX,TIME(s),POWER(W)
0,2.00E-06,1.30E-11
1,2.00E-06,1.30E-11
2,2.00E-06,1.30E-11
3,2.00E-06,1.30E-11
4,2.00E-06,1.30E-11
5,2.00E-06,1.28E-11
6,2.00E-06,1.23E-11
7,2.00E-06,1.14E-11
8,2.00E-06,1.06E-11
9,2.00E-06,9.77E-12
10,2.00E-06,9.76E-12
11,2.00E-06,9.76E-12
12,2.00E-06,9.76E-12
13,2.00E-06,9.75E-12
14,2.00E-06,9.73E-12
15,2.00E-06,9.70E-12
16,2.01E-06,9.64E-12
17,2.01E-06,9.51E-12
18,2.02E-06,9.26E-12
19,2.05E-06,8.76E-12
20,2.09E-06,7.85E-12
21,2.18E-06,6.51E-12
22,2.35E-06,5.36E-12
23,2.54E-06,5.20E-12
24,2.77E-06,5.19E-12
25,3.00E-06,5.19E-12
26,3.00E-06,4.87E-12
27,3.00E-06,4.22E-12
28,3.00E-06,2.92E-12
29,3.00E-06,1.92E-12
30,3.00E-06,1.92E-12
31,3.00E-06,1.92E-12
32,3.00E-06,1.92E-12
33,3.00E-06,1.91E-12
34,3.00E-06,1.89E-12
35,3.01E-06,1.86E-12
36,3.01E-06,1.79E-12
37,3.02E-06,1.67E-12
38,3.04E-06,1.44E-12
39,3.08E-06,1.08E-12
40,3.17E-06,6.05E-13
41,3.33E-06,1.75E-13
42,3.62E-06,-3.03E-15
43,3.96E-06,3.20E-16
44,4.00E-06,2.38E-16
45,4.00E-06,3.43E-13
46,4.00E-06,9.93E-13
47,4.00E-06,2.30E-12
48,4.00E-06,3.28E-12
49,4.00E-06,3.28E-12
50,4.00E-06,3.29E-12
51,4.00E-06,3.30E-12
52,4.00E-06,3.31E-12
53,4.00E-06,3.35E-12
54,4.01E-06,3.41E-12
55,4.01E-06,3.53E-12
56,4.02E-06,3.72E-12
57,4.04E-06,4.03E-12
58,4.08E-06,4.47E-12
59,4.16E-06,4.91E-12
60,4.31E-06,5.16E-12
61,4.48E-06,5.19E-12
62,4.76E-06,5.19E-12
63,5.00E-06,5.19E-12
64,5.00E-06,5.19E-12
65,5.00E-06,5.19E-12
66,5.00E-06,5.20E-12
67,5.00E-06,5.21E-12
68,5.00E-06,5.21E-12
69,5.00E-06,5.21E-12
70,5.00E-06,5.22E-12
71,5.00E-06,5.25E-12
72,5.00E-06,5.29E-12
73,5.01E-06,5.37E-12
74,5.01E-06,5.53E-12
75,5.02E-06,5.83E-12
76,5.04E-06,6.37E-12
77,5.08E-06,7.25E-12
78,5.17E-06,8.40E-12
79,5.26E-06,9.11E-12
80,5.35E-06,9.43E-12
81,5.45E-06,9.61E-12
82,5.54E-06,9.69E-12
83,5.63E-06,9.73E-12
84,5.72E-06,9.75E-12
85,5.82E-06,9.76E-12
86,5.91E-06,9.77E-12
87,6.00E-06,9.77E-12
88,6.00E-06,1.02E-11
89,6.00E-06,1.08E-11
