INDEX,TIME,POWER
0,0.00E+00,0.00E+00
1,1.00E-11,6.57E-10
2,2.00E-11,1.31E-09
3,4.00E-11,2.63E-09
4,8.00E-11,5.26E-09
5,1.60E-10,1.06E-08
6,3.20E-10,2.17E-08
7,5.91E-10,3.86E-08
8,8.54E-10,4.65E-08
9,1.00E-09,4.69E-08
10,1.05E-09,4.69E-08
11,1.16E-09,4.69E-08
12,1.37E-09,4.69E-08
13,1.79E-09,4.69E-08
14,2.63E-09,4.69E-08
15,4.31E-09,4.69E-08
16,7.67E-09,4.69E-08
17,1.44E-08,4.69E-08
18,2.79E-08,4.69E-08
19,5.48E-08,4.69E-08
20,1.09E-07,4.69E-08
21,2.16E-07,4.69E-08
22,3.25E-07,4.69E-08
23,4.69E-07,4.69E-08
24,6.29E-07,4.69E-08
25,8.81E-07,4.69E-08
26,1.22E-06,4.69E-08
27,1.62E-06,4.69E-08
28,2.00E-06,4.69E-08
29,2.00E-06,4.70E-08
30,2.00E-06,4.80E-08
31,2.00E-06,5.16E-08
32,2.00E-06,7.12E-08
33,2.00E-06,1.02E-07
34,2.00E-06,1.11E-07
35,2.00E-06,1.17E-07
36,2.00E-06,1.30E-07
37,2.00E-06,1.55E-07
38,2.00E-06,2.05E-07
39,2.00E-06,3.05E-07
40,2.00E-06,5.06E-07
41,2.01E-06,9.07E-07
42,2.01E-06,1.71E-06
43,2.02E-06,3.29E-06
44,2.05E-06,6.33E-06
45,2.09E-06,1.14E-05
46,2.18E-06,1.67E-05
47,2.28E-06,1.77E-05
48,2.41E-06,1.77E-05
49,2.54E-06,1.77E-05
50,2.81E-06,1.77E-05
51,3.00E-06,1.77E-05
52,3.00E-06,1.77E-05
53,3.00E-06,1.77E-05
54,3.00E-06,1.77E-05
55,3.00E-06,1.77E-05
56,3.00E-06,1.77E-05
57,3.00E-06,1.77E-05
58,3.00E-06,1.77E-05
59,3.00E-06,1.77E-05
60,3.00E-06,1.77E-05
61,3.01E-06,1.77E-05
62,3.01E-06,1.77E-05
63,3.02E-06,1.77E-05
64,3.04E-06,1.77E-05
65,3.08E-06,1.77E-05
66,3.17E-06,1.77E-05
67,3.33E-06,1.77E-05
68,3.66E-06,1.77E-05
69,4.00E-06,1.77E-05
70,4.00E-06,1.77E-05
71,4.00E-06,1.77E-05
72,4.00E-06,1.77E-05
73,4.00E-06,1.77E-05
74,4.00E-06,1.77E-05
75,4.00E-06,1.77E-05
76,4.00E-06,1.77E-05
77,4.00E-06,1.77E-05
78,4.00E-06,1.77E-05
79,4.01E-06,1.77E-05
80,4.01E-06,1.77E-05
81,4.02E-06,1.77E-05
82,4.04E-06,1.77E-05
83,4.08E-06,1.77E-05
84,4.16E-06,1.77E-05
85,4.33E-06,1.77E-05
86,4.66E-06,1.77E-05
87,5.06E-06,1.77E-05
88,5.46E-06,1.77E-05
89,5.86E-06,1.77E-05
90,6.00E-06,1.77E-05
91,6.00E-06,1.77E-05
92,6.00E-06,1.77E-05
93,6.00E-06,1.77E-05
94,6.00E-06,1.77E-05
95,6.00E-06,1.77E-05
96,6.00E-06,1.77E-05
97,6.00E-06,1.77E-05
98,6.00E-06,1.77E-05
99,6.00E-06,1.77E-05
100,6.00E-06,1.77E-05
101,6.00E-06,1.77E-05
102,6.00E-06,1.77E-05
103,6.00E-06,1.77E-05
104,6.01E-06,1.77E-05
105,6.01E-06,1.77E-05
106,6.02E-06,1.77E-05
107,6.03E-06,1.77E-05
108,6.07E-06,1.77E-05
109,6.13E-06,1.77E-05
110,6.26E-06,1.77E-05
111,6.53E-06,1.77E-05
112,6.93E-06,1.77E-05
113,7.33E-06,1.77E-05
114,7.73E-06,1.77E-05
115,8.00E-06,1.77E-05
116,8.00E-06,1.77E-05
117,8.00E-06,1.77E-05
118,8.00E-06,1.77E-05
119,8.00E-06,1.77E-05
120,8.00E-06,1.77E-05
121,8.00E-06,1.77E-05
122,8.00E-06,1.77E-05
